Lastupdatetime,Temperature,Humidity,CO2,TVOC
20/02/2024 10:34,21.0,45.0,405.0,0.0
20/02/2024 10:34,21.0,45.0,405.0,0.0
20/02/2024 10:44,20.5,44.0,403.0,0.0
20/02/2024 10:54,21.5,50.0,400.0,0.0
20/02/2024 11:04,22.0,55.0,410.0,0.0
20/02/2024 11:14,21.0,52.0,405.0,0.0
20/02/2024 11:24,21.5,53.0,400.0,0.0
20/02/2024 11:34,22.0,50.0,410.0,0.0
20/02/2024 11:44,21.5,51.0,405.0,0.0
20/02/2024 11:54,22.0,52.0,410.0,0.0
20/02/2024 12:04,21.5,53.0,400.0,0.0
20/02/2024 12:14,22.0,54.0,405.0,0.0
20/02/2024 12:24,21.5,55.0,410.0,0.0
20/02/2024 12:34,22.0,56.0,400.0,0.0
20/02/2024 12:44,21.5,57.0,405.0,0.0
20/02/2024 12:54,22.0,58.0,410.0,0.0
20/02/2024 13:04,21.5,59.0,400.0,0.0
20/02/2024 13:14,22.0,60.0,405.0,0.0
20/02/2024 13:24,21.5,50.0,410.0,0.0
20/02/2024 13:34,22.0,51.0,400.0,0.0
20/02/2024 13:44,21.5,52.0,405.0,0.0
20/02/2024 13:54,22.0,53.0,410.0,0.0
20/02/2024 14:04,21.5,54.0,400.0,0.0
20/02/2024 14:14,22.0,55.0,405.0,0.0
20/02/2024 14:24,21.5,56.0,410.0,0.0
20/02/2024 14:34,22.0,57.0,400.0,0.0
20/02/2024 14:44,21.5,58.0,405.0,0.0
20/02/2024 14:54,22.0,59.0,410.0,0.0
20/02/2024 15:04,21.5,60.0,400.0,0.0
20/02/2024 15:14,22.0,50.0,405.0,0.0
20/02/2024 15:24,21.5,51.0,410.0,0.0
20/02/2024 15:34,22.0,52.0,400.0,0.0
20/02/2024 15:44,21.5,53.0,405.0,0.0
20/02/2024 15:54,22.0,54.0,410.0,0.0
20/02/2024 16:04,21.5,55.0,400.0,0.0
20/02/2024 16:14,22.0,56.0,405.0,0.0
20/02/2024 16:24,21.5,57.0,410.0,0.0
20/02/2024 16:34,22.0,58.0,400.0,0.0
20/02/2024 16:44,21.5,59.0,405.0,0.0
20/02/2024 16:54,22.0,60.0,410.0,0.0
20/02/2024 17:04,21.5,50.0,400.0,0.0
20/02/2024 17:14,22.0,51.0,405.0,0.0
20/02/2024 17:24,21.5,52.0,410.0,0.0
20/02/2024 17:34,22.0,53.0,400.0,0.0
20/02/2024 17:44,21.5,54.0,405.0,0.0
20/02/2024 17:54,22.0,55.0,410.0,0.0
20/02/2024 18:04,21.5,56.0,400.0,0.0
20/02/2024 18:14,22.0,57.0,405.0,0.0
20/02/2024 18:24,21.5,58.0,410.0,0.0
20/02/2024 18:34,22.0,59.0,400.0,0.0
20/02/2024 18:44,21.5,60.0,405.0,0.0
20/02/2024 18:54,22.0,50.0,410.0,0.0
20/02/2024 19:04,21.5,51.0,400.0,0.0
20/02/2024 19:14,22.0,52.0,405.0,0.0
20/02/2024 19:24,21.5,53.0,410.0,0.0
20/02/2024 19:34,22.0,54.0,400.0,0.0
20/02/2024 19:44,21.5,55.0,405.0,0.0
20/02/2024 19:54,22.0,56.0,410.0,0.0
20/02/2024 20:04,21.5,57.0,400.0,0.0
20/02/2024 20:14,21.0,58.0,390.0,0.0
20/02/2024 20:24,20.5,59.0,380.0,0.0
